Message,Count,HasTimeUS,HasExactGpsUtc,File,Purpose,Columns
AHR2,8681,1,0,AHR2.csv,fused attitude and position,"TimeUS, Roll, Pitch, Yaw, Alt, Lat, Lng, Q1, Q2, Q3, Q4"
ARM,1,1,0,ARM.csv,,"TimeUS, ArmState, ArmChecks, Forced, Method"
ATT,8681,1,0,ATT.csv,attitude controller state,"TimeUS, DesRoll, Roll, DesPitch, Pitch, DesYaw, Yaw, ErrRP, ErrYaw, AEKF"
BARO,8681,1,0,BARO.csv,barometer,"TimeUS, I, Alt, Press, Temp, CRt, SMS, Offset, GndTemp, Health"
BAT,8681,1,0,BAT.csv,battery,"TimeUS, Instance, Volt, VoltR, Curr, CurrTot, EnrgTot, Temp, Res, RemPct"
CAM,294,1,1,CAM.csv,camera trigger pose,"TimeUS, GPSTime, GPSWeek, Lat, Lng, Alt, RelAlt, GPSAlt, Roll, Pitch, Yaw"
CMD,98,1,0,CMD.csv,,"TimeUS, CTot, CNum, CId, Prm1, Prm2, Prm3, Prm4, Lat, Lng, Alt, Frame"
CTRL,8681,1,0,CTRL.csv,,"TimeUS, RMSRollP, RMSRollD, RMSPitchP, RMSPitchD, RMSYaw"
CTUN,8681,1,0,CTUN.csv,,"TimeUS, ThI, ABst, ThO, ThH, DAlt, Alt, BAlt, DSAlt, SAlt, TAlt, DCRt, CRt"
DSF,866,1,0,DSF.csv,,"TimeUS, Dp, Blk, Bytes, FMn, FMx, FAv"
DU32,868,1,0,DU32.csv,,"TimeUS, Id, Value"
ERR,1,1,0,ERR.csv,,"TimeUS, Subsys, ECode"
EV,8,1,0,EV.csv,,"TimeUS, Id"
FILE,318,0,0,FILE.csv,,"FileName, Offset, Length, Data"
FMTU,153,1,0,FMTU.csv,,"TimeUS, FmtType, UnitIds, MultIds"
GPA,4331,1,0,GPA.csv,GNSS accuracy metrics,"TimeUS, I, VDop, HAcc, VAcc, SAcc, YAcc, VV, SMS, Delta, Und"
GPS,4331,1,1,GPS.csv,GNSS position and velocity,"TimeUS, I, Status, GMS, GWk, NSats, HDop, Lat, Lng, Alt, Spd, GCrs, VZ, Yaw, U"
IMU,21703,1,0,IMU.csv,raw fused IMU sample,"TimeUS, I, GyrX, GyrY, GyrZ, AccX, AccY, AccZ, EG, EA, T, GH, AH, GHz, AHz"
MAG,8681,1,0,MAG.csv,magnetometer,"TimeUS, I, MagX, MagY, MagZ, OfsX, OfsY, OfsZ, MOX, MOY, MOZ, Health, S"
MAV,866,1,0,MAV.csv,,"TimeUS, chan, txp, rxp, rxdp, flags, ss, tf"
MODE,3,1,0,MODE.csv,flight mode changes,"TimeUS, Mode, ModeNum, Rsn"
MOTB,8681,1,0,MOTB.csv,,"TimeUS, LiftMax, BatVolt, ThLimit, ThrAvMx, FailFlags"
MSG,78,1,0,MSG.csv,,"TimeUS, Message"
MULT,16,1,0,MULT.csv,,"TimeUS, Id, Mult"
ORGN,2,1,0,ORGN.csv,,"TimeUS, Type, Lat, Lng, Alt"
PARM,1308,1,0,PARM.csv,,"TimeUS, Name, Value, Default"
PM,87,1,0,PM.csv,,"TimeUS, LR, NLon, NL, MaxT, Mem, Load, ErrL, IntE, ErrC, SPIC, I2CC, I2CI, Ex"
POS,8681,1,0,POS.csv,position estimate,"TimeUS, Lat, Lng, Alt, RelHomeAlt, RelOriginAlt"
POWR,8681,1,0,POWR.csv,,"TimeUS, Vcc, VServo, Flags, AccFlags, Safety, MTemp, MVolt, MVmin, MVmax"
PSCD,8681,1,0,PSCD.csv,,"TimeUS, TPD, PD, DVD, TVD, VD, DAD, TAD, AD"
PSCE,8681,1,0,PSCE.csv,,"TimeUS, TPE, PE, DVE, TVE, VE, DAE, TAE, AE"
PSCN,8681,1,0,PSCN.csv,,"TimeUS, TPN, PN, DVN, TVN, VN, DAN, TAN, AN"
RATE,8681,1,0,RATE.csv,,"TimeUS, RDes, R, ROut, PDes, P, POut, YDes, Y, YOut, ADes, A, AOut"
RCIN,8681,1,0,RCIN.csv,input PWM,"TimeUS, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14"
RCO2,8681,1,0,RCO2.csv,,"TimeUS, C15, C16, C17, C18"
RCOU,8681,1,0,RCOU.csv,output PWM,"TimeUS, C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14"
SRTL,4052,1,0,SRTL.csv,,"TimeUS, Active, NumPts, MaxPts, Action, N, E, D"
STAK,8601,1,0,STAK.csv,,"TimeUS, Id, Pri, Total, Free, Name"
TERR,868,1,0,TERR.csv,,"TimeUS, Status, Lat, Lng, Spacing, TerrH, CHeight, Pending, Loaded, ROfs"
UBX1,173,1,0,UBX1.csv,,"TimeUS, Instance, noisePerMS, jamInd, aPower, agcCnt, config"
UBX2,173,1,0,UBX2.csv,,"TimeUS, Instance, ofsI, magI, ofsQ, magQ"
UNIT,34,1,0,UNIT.csv,,"TimeUS, Id, Label"
VER,1,1,0,VER.csv,,"TimeUS, BT, BST, Maj, Min, Pat, FWT, GH, FWS, APJ"
VIBE,8681,1,0,VIBE.csv,vibration diagnostics,"TimeUS, IMU, VibeX, VibeY, VibeZ, Clip"
XKF1,8681,1,0,XKF1.csv,EKF state estimate,"TimeUS, C, Roll, Pitch, Yaw, VN, VE, VD, dPD, PN, PE, PD, GX, GY, GZ, OH"
XKF2,8681,1,0,XKF2.csv,EKF sensor state,"TimeUS, C, AX, AY, AZ, VWN, VWE, MN, ME, MD, MX, MY, MZ, IDX, IDY, IS"
XKF3,8681,1,0,XKF3.csv,EKF innovations,"TimeUS, C, IVN, IVE, IVD, IPN, IPE, IPD, IMX, IMY, IMZ, IYAW, IVT, RErr, ErSc"
XKF4,8681,1,0,XKF4.csv,EKF consistency,"TimeUS, C, SV, SP, SH, SM, SVT, errRP, OFN, OFE, FS, TS, SS, GPS, PI"
XKF5,8681,1,0,XKF5.csv,EKF terrain/range,"TimeUS, C, NI, FIX, FIY, AFI, HAGL, offset, RI, rng, Herr, eAng, eVel, ePos"
XKFS,8681,1,0,XKFS.csv,,"TimeUS, C, MI, BI, GI, AI, SS"
XKQ,8681,1,0,XKQ.csv,,"TimeUS, C, Q1, Q2, Q3, Q4"
XKT,170,1,0,XKT.csv,,"TimeUS, C, Cnt, IMUMin, IMUMax, EKFMin, EKFMax, AngMin, AngMax, VMin, VMax"
XKV1,1737,1,0,XKV1.csv,,"TimeUS, C, V00, V01, V02, V03, V04, V05, V06, V07, V08, V09, V10, V11"
XKV2,1737,1,0,XKV2.csv,,"TimeUS, C, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23"
XKY0,8532,1,0,XKY0.csv,,"TimeUS, C, YC, YCS, Y0, Y1, Y2, Y3, Y4, W0, W1, W2, W3, W4"
XKY1,8532,1,0,XKY1.csv,,"TimeUS, C, IVN0, IVN1, IVN2, IVN3, IVN4, IVE0, IVE1, IVE2, IVE3, IVE4"
INFO,132,0,0,INFO.csv,plain-text information lines,RawLine
UNPARSED,8,0,0,UNPARSED.csv,binary or broken lines,RawLine
